Time Frame,Max Temp (°C),Stop with Max Temp,Min Temp (°C),Stop with Min Temp
8:00,33.15753244098864,Lancaster Av & Bible Way,28.041003628780967,Wayne Av & Johnson St
9:00,35.67336273495474,60th St Station - MFL,29.55528559366862,60th St & Media St
10:00,36.90330676028603,Lancaster Av & Bible Way,30.945197677612306,11th St & Godfrey Av
11:00,37.77746227809361,Columbia Av & Delaware Av,31.842836354573567,11th St & Godfrey Av
12:00,38.24949478149414,Hunting Park Av & Front St,32.28116063435873,11th St & Godfrey Av
13:00,38.25439198811849,Hunting Park Av & Front St,32.46579864501953,11th St & Godfrey Av
14:00,38.21317843387001,Wayne Av & Clarissa St,32.30960205078125,Walnut St & 5th St - FS
15:00,38.2246742750469,Wayne Av & Clarissa St,31.853687515258787,Walnut St & 5th St - FS
16:00,37.36462372227719,Wayne Av & Clarissa St,31.27266431172689,Walnut St & 5th St - FS
17:00,36.12475701382286,Wayne Av & Clarissa St,30.130579270814593,Bustleton Av & Van Kirk St
18:00,36.12336776733398,17th St & Arch St,28.865078725312884,8th St & Cecil B Moore Av - FS
19:00,29.710465836198363,63rd St Station - MFL,26.39653884039985,Baltimore Av & 44th St
